Entry	Entry name	Protein names	InterPro	Gene ontology IDs	Gene ontology (GO)	Gene names	EC number	Pathway	Protein existence	Organism	Organism ID
A4HXF5	A4HXF5_LEIIN	GMP reductase (GMPR) (EC 1.7.1.7) (Guanosine 5'-monophosphate oxidoreductase) (Guanosine monophosphate reductase)	IPR013785; IPR000644; IPR005993; IPR005990; IPR015875; IPR001093; 	GO:0003920; GO:0003938; GO:0005737; GO:0006144; GO:0006177; GO:0046872; GO:1902560	cytoplasm [GO:0005737]; GMP reductase complex [GO:1902560]; GMP reductase activity [GO:0003920]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; GMP biosynthetic process [GO:0006177]; purine nucleobase metabolic process [GO:0006144]	GMPR LINJ_17_0870	1.7.1.7	Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. 	Inferred from homology	Leishmania infantum	5671
A4I735	A4I735_LEIIN	Phosphatidylethanolamine N-methyltransferase (PEAMT) (PEMT) (EC 2.1.1.17) (EC 2.1.1.71) (Phospholipid methyltransferase) (PLMT)	IPR024960; IPR007318; 	GO:0000773; GO:0004608; GO:0005789; GO:0006656; GO:0016021; GO:0031966; GO:0032259; GO:0080101	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; mitochondrial membrane [GO:0031966]; phosphatidyl-N-dimethylethanolamine N-methyltransferase activity [GO:0080101]; phosphatidyl-N-methylethanolamine N-methyltransferase activity [GO:0000773]; phosphatidylethanolamine N-methyltransferase activity [GO:0004608]; methylation [GO:0032259]; phosphatidylcholine biosynthetic process [GO:0006656]	LINJ_31_2360	2.1.1.17; 2.1.1.71	Phospholipid metabolism; phosphatidylcholine biosynthesis. 	Inferred from homology	Leishmania infantum	5671
E9AHY1	E9AHY1_LEIIN	Inosine triphosphate pyrophosphatase (ITPase) (Inosine triphosphatase) (EC 3.6.1.9) (Non-canonical purine NTP pyrophosphatase) (Non-standard purine NTP pyrophosphatase) (Nucleoside-triphosphate diphosphatase) (Nucleoside-triphosphate pyrophosphatase) (NTPase)	IPR002637; IPR027502; IPR029001; 	GO:0000166; GO:0005737; GO:0009117; GO:0009204; GO:0034404; GO:0035529; GO:0036218; GO:0046872	cytoplasm [GO:0005737]; dTTP diphosphatase activity [GO:0036218]; metal ion binding [GO:0046872]; NADH pyrophosphatase activity [GO:0035529]; nucleotide binding [GO:0000166]; deoxyribonucleoside triphosphate catabolic process [GO:0009204]; nucleobase-containing small molecule biosynthetic process [GO:0034404]; nucleotide metabolic process [GO:0009117]	LINJ_36_4860	3.6.1.9		Inferred from homology	Leishmania infantum	5671
A4I4W5	A4I4W5_LEIIN	ATP-dependent 6-phosphofructokinase (ATP-PFK) (Phosphofructokinase) (EC 2.7.1.11) (Phosphohexokinase)	IPR022953; IPR000023; IPR035966; IPR012004; 	GO:0003872; GO:0005524; GO:0006002; GO:0020015; GO:0046872	glycosome [GO:0020015]; 6-phosphofructokinase activity [GO:0003872]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; fructose 6-phosphate metabolic process [GO:0006002]	pfk LINJ_29_2620	2.7.1.11	Carbohydrate degradation; glycolysis; D-glyceraldehyde 3-phosphate and glycerone phosphate from D-glucose: step 3/4. 	Inferred from homology	Leishmania infantum	5671
Q25298	KM11C_LEIIN	Kinetoplastid membrane protein 11C	IPR004132; 	GO:0005737; GO:0005874; GO:0006952; GO:0007010; GO:0008284; GO:0015630; GO:0031514	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; motile cilium [GO:0031514]; cytoskeleton organization [GO:0007010]; defense response [GO:0006952]; positive regulation of cell population proliferation [GO:0008284]	KMP-11C			Evidence at protein level	Leishmania infantum	5671
Q25297	KM11B_LEIIN	Kinetoplastid membrane protein 11B	IPR004132; 	GO:0005737; GO:0005874; GO:0006952; GO:0007010; GO:0008284; GO:0015630; GO:0031514	cytoplasm [GO:0005737]; microtubule [GO:0005874]; microtubule cytoskeleton [GO:0015630]; motile cilium [GO:0031514]; cytoskeleton organization [GO:0007010]; defense response [GO:0006952]; positive regulation of cell population proliferation [GO:0008284]	KMP-11B			Evidence at protein level	Leishmania infantum	5671
A4IAM7	A4IAM7_LEIIN	NAD-dependent protein deacylase (EC 2.3.1.-) (Regulatory protein SIR2 homolog 5)	IPR029035; IPR003000; IPR026591; IPR027546; IPR026590; 	GO:0005739; GO:0008270; GO:0016740; GO:0034979; GO:0036054; GO:0036055; GO:0061697; GO:0070403	mitochondrion [GO:0005739]; NAD+ binding [GO:0070403]; NAD-dependent protein deacetylase activity [GO:0034979]; protein-glutaryllysine deglutarylase activity [GO:0061697]; protein-malonyllysine demalonylase activity [GO:0036054]; protein-succinyllysine desuccinylase activity [GO:0036055]; transferase activity [GO:0016740]; zinc ion binding [GO:0008270]	LINJ_34_1900	2.3.1.-		Inferred from homology	Leishmania infantum	5671
A4I9M7	GUF1_LEIIN	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.-) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	IPR006297; IPR035647; IPR000640; IPR038363; IPR013842; IPR035654; IPR027417; IPR005225; IPR000795; IPR009000; 	GO:0003924; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0043022; GO:0045727	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; positive regulation of translation [GO:0045727]; translation [GO:0006412]	LinJ34.0590 LinJ_34_0590	3.6.5.-		Inferred from homology	Leishmania infantum	5671
A0A6L0XGF8	A0A6L0XGF8_LEIIN	Flap endonuclease 1 (FEN-1) (EC 3.1.-.-) (Flap structure-specific endonuclease 1)	IPR036279; IPR023426; IPR008918; IPR029060; IPR006086; IPR006084; IPR019974; IPR006085; 	GO:0000287; GO:0003677; GO:0005654; GO:0005730; GO:0005739; GO:0006284; GO:0008409; GO:0017108; GO:0043137	mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleoplasm [GO:0005654]; 5'-3' exonuclease activity [GO:0008409]; 5'-flap endonuclease activity [GO:0017108]; DNA binding [GO:0003677]; magnesium ion binding [GO:0000287]; base-excision repair [GO:0006284]; DNA replication, removal of RNA primer [GO:0043137]	FEN1 LINF_270007600	3.1.-.-		Inferred from homology	Leishmania infantum	5671
A4I2M8	A4I2M8_LEIIN	Ribokinase (RK) (EC 2.7.1.15)	IPR011877; IPR011611; IPR002139; IPR029056; 	GO:0004747; GO:0005524; GO:0005634; GO:0005737; GO:0019303; GO:0046872	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; ribokinase activity [GO:0004747]; D-ribose catabolic process [GO:0019303]	LINJ_27_0430	2.7.1.15	Carbohydrate metabolism; D-ribose degradation; D-ribose 5-phosphate from beta-D-ribopyranose: step 2/2. 	Inferred from homology	Leishmania infantum	5671
A4HYI5	A4HYI5_LEIIN	Inosine-5'-monophosphate dehydrogenase (IMP dehydrogenase) (IMPD) (IMPDH) (EC 1.1.1.205)	IPR013785; IPR000644; IPR005990; IPR015875; IPR001093; 	GO:0000166; GO:0003938; GO:0005737; GO:0006177; GO:0046872	cytoplasm [GO:0005737]; IMP dehydrogenase activity [GO:0003938]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; GMP biosynthetic process [GO:0006177]	LINJ_19_1590	1.1.1.205	Purine metabolism; XMP biosynthesis via de novo pathway; XMP from IMP: step 1/1. 	Inferred from homology	Leishmania infantum	5671
A4HU70	JBP1_LEIIN	Thymine dioxygenase JBP1 (EC 1.14.11.6) (J-binding protein 1) (Thymidine hydroxylase JBP1)	IPR024779; IPR041241; IPR043111; 	GO:0003677; GO:0005634; GO:0046872; GO:0050341	nucleus [GO:0005634]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; thymine dioxygenase activity [GO:0050341]	JBP1 LinJ09.1540 LinJ_09_1560	1.14.11.6		Inferred from homology	Leishmania infantum	5671
A4HY57	LIPA_LEIIN	Lipoyl synthase, mitochondrial (EC 2.8.1.8) (Lipoate synthase) (LS) (Lip-syn) (Lipoic acid synthase)	IPR013785; IPR006638; IPR031691; IPR003698; IPR007197; 	GO:0005739; GO:0009249; GO:0016992; GO:0046872; GO:0051539; GO:0102552; GO:0102553	mitochondrion [GO:0005739]; 4 iron, 4 sulfur cluster binding [GO:0051539]; lipoate synthase activity [GO:0016992]; lipoyl synthase activity (acting on glycine-cleavage complex H protein [GO:0102552]; lipoyl synthase activity (acting on pyruvate dehydrogenase E2 protein) [GO:0102553]; metal ion binding [GO:0046872]; protein lipoylation [GO:0009249]	LinJ19.0190 LinJ_19_0350	2.8.1.8	Protein modification; protein lipoylation via endogenous pathway; protein N(6)-(lipoyl)lysine from octanoyl-[acyl-carrier-protein]: step 2/2. 	Inferred from homology	Leishmania infantum	5671
A4I2V9	A4I2V9_LEIIN	Adenylyltransferase and sulfurtransferase MOCS3 homolog (UBA4 homolog) (Ubiquitin-like protein activator 4 homolog) [Includes: Adenylyltransferase (EC 2.7.7.-); Sulfurtransferase (EC 2.8.1.-)]	IPR028885; IPR001763; IPR036873; IPR045886; IPR000594; IPR035985; 	GO:0002143; GO:0004792; GO:0005524; GO:0005829; GO:0008641; GO:0016779; GO:0046872	cytosol [GO:0005829]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; nucleotidyltransferase activity [GO:0016779]; thiosulfate sulfurtransferase activity [GO:0004792]; ubiquitin-like modifier activating enzyme activity [GO:0008641]; tRNA wobble position uridine thiolation [GO:0002143]	LINJ_27_1570	2.7.7.-; 2.8.1.-	tRNA modification; 5-methoxycarbonylmethyl-2-thiouridine-tRNA biosynthesis. 	Inferred from homology	Leishmania infantum	5671
A4HTS3	A4HTS3_LEIIN	Endonuclease III homolog (EC 3.2.2.-) (EC 4.2.99.18) (Bifunctional DNA N-glycosylase/DNA-(apurinic or apyrimidinic site) lyase) (DNA glycosylase/AP lyase)	IPR011257; IPR003651; IPR004035; IPR003265; IPR023170; IPR000445; IPR030841; 	GO:0000703; GO:0003677; GO:0005634; GO:0005739; GO:0006285; GO:0046872; GO:0051539; GO:0140078	mitochondrion [GO:0005739]; nucleus [GO:0005634]; 4 iron, 4 sulfur cluster binding [GO:0051539]; class I DNA-(apurinic or apyrimidinic site) endonuclease activity [GO:0140078]; DNA binding [GO:0003677]; metal ion binding [GO:0046872]; oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity [GO:0000703]; base-excision repair, AP site formation [GO:0006285]	NTH1 LINJ_09_0070	3.2.2.-; 4.2.99.18		Inferred from homology	Leishmania infantum	5671
A4HUY0	ASNA_LEIIN	ATPase ASNA1 homolog (EC 3.6.-.-) (Arsenical pump-driving ATPase homolog) (Arsenite-stimulated ATPase)	IPR025723; IPR016300; IPR027542; IPR027417; 	GO:0005524; GO:0005783; GO:0016887; GO:0045048; GO:0046872	endoplasmic reticulum [GO:0005783]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]; metal ion binding [GO:0046872]; protein insertion into ER membrane [GO:0045048]	LinJ11.0710 LinJ_11_0710	3.6.-.-		Inferred from homology	Leishmania infantum	5671
A4I6A3	A4I6A3_LEIIN	Probable tRNA N6-adenosine threonylcarbamoyltransferase (EC 2.3.1.234) (t(6)A37 threonylcarbamoyladenosine biosynthesis protein) (tRNA threonylcarbamoyladenosine biosynthesis protein)	IPR043129; IPR000905; IPR017861; IPR034680; IPR017860; 	GO:0000408; GO:0002949; GO:0005634; GO:0005737; GO:0016787; GO:0046872; GO:0061711	cytoplasm [GO:0005737]; EKC/KEOPS complex [GO:0000408]; nucleus [GO:0005634]; hydrolase activity [GO:0016787]; metal ion binding [GO:0046872]; N(6)-L-threonylcarbamoyladenine synthase activity [GO:0061711]; tRNA threonylcarbamoyladenosine modification [GO:0002949]	LINJ_31_0110	2.3.1.234		Inferred from homology	Leishmania infantum	5671
A0A6L0XYP2	A0A6L0XYP2_LEIIN	Translation factor GUF1 homolog, mitochondrial (EC 3.6.5.n1) (Elongation factor 4 homolog) (EF-4) (GTPase GUF1 homolog) (Ribosomal back-translocase)	IPR006297; IPR035647; IPR000640; IPR038363; IPR013842; IPR035654; IPR027417; IPR005225; IPR000795; IPR009000; 	GO:0003924; GO:0005525; GO:0005743; GO:0005759; GO:0006412; GO:0043022; GO:0045727	mitochondrial inner membrane [GO:0005743]; mitochondrial matrix [GO:0005759]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]; ribosome binding [GO:0043022]; positive regulation of translation [GO:0045727]; translation [GO:0006412]	LINF_340011300	3.6.5.n1		Inferred from homology	Leishmania infantum	5671
A4IBW5	A4IBW5_LEIIN	Ubiquinone biosynthesis O-methyltransferase, mitochondrial (3-demethylubiquinol 3-O-methyltransferase) (EC 2.1.1.64) (Polyprenyldihydroxybenzoate methyltransferase) (EC 2.1.1.114)	IPR029063; IPR010233; 	GO:0004395; GO:0006744; GO:0008425; GO:0008689; GO:0031314; GO:0032259	extrinsic component of mitochondrial inner membrane [GO:0031314]; 2-polyprenyl-6-methoxy-1,4-benzoquinone methyltransferase activity [GO:0008425]; 3-demethylubiquinone-9 3-O-methyltransferase activity [GO:0008689]; hexaprenyldihydroxybenzoate methyltransferase activity [GO:0004395]; methylation [GO:0032259]; ubiquinone biosynthetic process [GO:0006744]	LINJ_35_4320	2.1.1.64; 2.1.1.114	Cofactor biosynthesis; ubiquinone biosynthesis. 	Inferred from homology	Leishmania infantum	5671
A4HW64	A4HW64_LEIIN	Poly(A) polymerase (EC 2.7.7.19)	IPR043519; IPR011068; IPR007012; IPR007010; IPR014492; IPR002934; 	GO:0003723; GO:0004652; GO:0005524; GO:0005634; GO:0005737; GO:0006397; GO:0043631; GO:0046872; GO:0050265; GO:0071076	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; metal ion binding [GO:0046872]; polynucleotide adenylyltransferase activity [GO:0004652]; RNA binding [GO:0003723]; RNA uridylyltransferase activity [GO:0050265]; mRNA processing [GO:0006397]; RNA 3' uridylation [GO:0071076]; RNA polyadenylation [GO:0043631]	LINJ_14_1260	2.7.7.19		Inferred from homology	Leishmania infantum	5671
Q06383	RLA2_LEIIN	60S acidic ribosomal protein P2-1	IPR038716; IPR027534; IPR044076; IPR001859; 	GO:0002182; GO:0003735; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translational elongation [GO:0002182]	LIP			Evidence at transcript level	Leishmania infantum	5671
Q06382	RLA3_LEIIN	60S acidic ribosomal protein P2-2	IPR038716; IPR027534; IPR044076; IPR001859; 	GO:0002182; GO:0003735; GO:0022625	cytosolic large ribosomal subunit [GO:0022625]; structural constituent of ribosome [GO:0003735]; cytoplasmic translational elongation [GO:0002182]	LIP'			Evidence at transcript level	Leishmania infantum	5671
A4I7K1	SEY1_LEIIN	Protein SEY1 homolog (EC 3.6.5.-)	IPR030386; IPR027417; IPR008803; 	GO:0003924; GO:0005525; GO:0005789; GO:0016021	endoplasmic reticulum membrane [GO:0005789]; integral component of membrane [GO:0016021]; GTP binding [GO:0005525]; GTPase activity [GO:0003924]	LinJ32.0740 LinJ_32_0380	3.6.5.-		Inferred from homology	Leishmania infantum	5671
A4HWT0	TRM5_LEIIN	tRNA (guanine(37)-N1)-methyltransferase (EC 2.1.1.228) (M1G-methyltransferase) (tRNA [GM37] methyltransferase) (tRNA methyltransferase 5 homolog)	IPR030382; IPR029063; IPR025792; 	GO:0005634; GO:0005759; GO:0052906	mitochondrial matrix [GO:0005759]; nucleus [GO:0005634]; tRNA (guanine(37)-N(1))-methyltransferase activity [GO:0052906]	LINJ_16_0320	2.1.1.228		Inferred from homology	Leishmania infantum	5671
A4HSK5	A4HSK5_LEIIN	S-methyl-5'-thioadenosine phosphorylase (EC 2.4.2.28) (5'-methylthioadenosine phosphorylase) (MTA phosphorylase) (MTAP) (MTAPase)	IPR010044; IPR000845; IPR035994; IPR018099; 	GO:0005634; GO:0005737; GO:0006166; GO:0017061; GO:0019509	cytoplasm [GO:0005737]; nucleus [GO:0005634]; S-methyl-5-thioadenosine phosphorylase activity [GO:0017061]; L-methionine salvage from methylthioadenosine [GO:0019509]; purine ribonucleoside salvage [GO:0006166]	LINJ_05_0830	2.4.2.28	Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; S-methyl-5-thio-alpha-D-ribose 1-phosphate from S-methyl-5'-thioadenosine (phosphorylase route): step 1/1. 	Inferred from homology	Leishmania infantum	5671
A4ID83	A4ID83_LEIIN	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial (EC 6.2.1.5) (Succinyl-CoA synthetase beta chain) (SCS-beta)	IPR013650; IPR013815; IPR005811; IPR017866; IPR005809; IPR016102; 	GO:0000287; GO:0004775; GO:0005524; GO:0005739; GO:0006099	mitochondrion [GO:0005739]; ATP binding [GO:0005524]; magnesium ion binding [GO:0000287]; succinate-CoA ligase (ADP-forming) activity [GO:0004775]; tricarboxylic acid cycle [GO:0006099]	LINJ_36_3100	6.2.1.5	Carbohydrate metabolism; tricarboxylic acid cycle; succinate from succinyl-CoA (ligase route): step 1/1. 	Inferred from homology	Leishmania infantum	5671
A4ICE5	MTNA_LEIIN	Methylthioribose-1-phosphate isomerase (M1Pi) (MTR-1-P isomerase) (EC 5.3.1.23) (S-methyl-5-thioribose-1-phosphate isomerase) (Translation initiation factor eIF-2B subunit alpha/beta/delta-like protein)	IPR000649; IPR005251; IPR042529; IPR011559; IPR027363; IPR037171; 	GO:0005634; GO:0005737; GO:0019284; GO:0019509; GO:0046523	cytoplasm [GO:0005737]; nucleus [GO:0005634]; S-methyl-5-thioribose-1-phosphate isomerase activity [GO:0046523]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	LinJ36.0740 LinJ_36_5160	5.3.1.23	Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 1/6. 	Inferred from homology	Leishmania infantum	5671
A4HU16	A4HU16_LEIIN	O-phosphoseryl-tRNA(Sec) selenium transferase (EC 2.9.1.2) (Selenocysteine synthase) (Selenocysteinyl-tRNA(Sec) synthase) (Sep-tRNA:Sec-tRNA synthase)	IPR015424; IPR015421; IPR019872; IPR008829; 	GO:0000049; GO:0005737; GO:0006412; GO:0097056; GO:0098621	cytoplasm [GO:0005737]; phosphoseryl-selenocysteinyl-tRNA selenium transferase activity [GO:0098621]; tRNA binding [GO:0000049]; selenocysteinyl-tRNA(Sec) biosynthetic process [GO:0097056]; translation [GO:0006412]	LINJ_09_1000	2.9.1.2	Aminoacyl-tRNA biosynthesis; selenocysteinyl-tRNA(Sec) biosynthesis; selenocysteinyl-tRNA(Sec) from L-seryl-tRNA(Sec) (archaeal/eukaryal route): step 2/2. 	Inferred from homology	Leishmania infantum	5671
A4I3R0	MTNB_LEIIN	Probable methylthioribulose-1-phosphate dehydratase (MTRu-1-P dehydratase) (EC 4.2.1.109)	IPR001303; IPR036409; IPR017714; IPR027514; 	GO:0005737; GO:0008270; GO:0019284; GO:0019509; GO:0046570	cytoplasm [GO:0005737]; methylthioribulose 1-phosphate dehydratase activity [GO:0046570]; zinc ion binding [GO:0008270]; L-methionine salvage from methylthioadenosine [GO:0019509]; L-methionine salvage from S-adenosylmethionine [GO:0019284]	LinJ28.1900 LinJ_28_1960	4.2.1.109	Amino-acid biosynthesis; L-methionine biosynthesis via salvage pathway; L-methionine from S-methyl-5-thio-alpha-D-ribose 1-phosphate: step 2/6. 	Inferred from homology	Leishmania infantum	5671
